key_combo,command_name,category,context,description,confidence,notes
F3,view.open,file_ops,panel,Open the file under the cursor (or selection) in the internal/external viewer (Lister),known,Core TC function-key; F1-F8 bar unchanged since Norton Commander lineage
F4,edit.open,file_ops,panel,Open the file under the cursor in the configured editor (internal or external),known,
Shift+F4,ops.new_file,file_ops,panel,Create a new empty file (prompts for a name) and open it in the editor,known,Complement to F7 mkdir
F5,ops.copy,file_ops,panel,"Copy selected files/dirs to the other panel's directory, or to a typed path; opens a copy dialog",known,
Shift+F5,ops.copy_same_dir,file_ops,panel,"Copy selected files into the SAME directory, prompting for a new name (e.g. 'file copy.txt')",known,
F6,ops.move_or_rename,file_ops,panel,"Move (or rename, if target dir unchanged) selected files/dirs via a dialog pre-filled with current name/path",known,
Shift+F6,ops.rename_in_place,file_ops,panel,Rename the file/dir under cursor in place (no move dialog; target directory fixed to current),known,
F7,ops.mkdir,file_ops,panel,Create a new directory; accepts nested path segments to create a tree in one go,known,
F8,ops.delete,file_ops,panel,"Delete selected files/dirs (moves to Recycle Bin if enabled, else prompts for permanent delete)",known,
Delete,ops.delete,file_ops,panel,Same as F8,known,
Shift+F8,ops.delete_permanent,file_ops,panel,"Delete selected files/dirs permanently, bypassing the Recycle Bin",known,
Shift+Delete,ops.delete_permanent,file_ops,panel,Same as Shift+F8,known,
F2,panel.reread,file_ops,panel,Refresh (reread) the active panel's directory listing from disk,known,
Ctrl+R,panel.reread,file_ops,panel,"Alternate hotkey for Refresh, same as F2",known,
Ctrl+A,ops.change_attributes,file_ops,panel,Open the Change Attributes (chmod-like) dialog for the selection -- NOT 'select all',known,Single most-cited keybinding 'gotcha' in TC; see design.md Appendix A deviation discussion
Alt+F5,archive.pack,file_ops,panel,"Pack the selection into a new archive (opens the Pack dialog: format, name, target)",known,Matches design.md section 9.4 seed table
Alt+F9,archive.unpack,file_ops,panel,Unpack (extract) the archive under the cursor to a chosen target directory,known,Matches design.md section 9.4 seed table
Alt+F6,archive.test,file_ops,panel,Test the integrity of the archive under the cursor,inferred,TC groups Pack/Unpack/Test around Alt+F5/F6/F9; the precise F6-vs-F9 split needs hands-on confirmation
Alt+Enter,file.properties,file_ops,panel,Open the OS-native Properties dialog for the selection,known,Matches design.md section 9.4 seed table
Alt+Shift+Enter,file.properties_totalcmd,file_ops,panel,Open TC's own multi-file properties / occupied-space summary (distinct from the OS dialog on Alt+Enter),uncertain,Recalled but the exact modifier chord is not fully certain; verify by hand
Ctrl+Enter,cmdline.insert_name,file_ops,panel,Insert the name of the file under cursor into the command line,known,Matches design.md section 9.4 seed table
Ctrl+Shift+Enter,cmdline.insert_path,file_ops,panel,Insert the full path of the file under cursor into the command line,known,Matches design.md section 9.4 seed table
Ctrl+P,cmdline.insert_current_path,file_ops,panel,Insert the active panel's current directory path into the command line,inferred,
Ctrl+Z,ops.undo,file_ops,global,"Undo the last undoable file operation (rename, move, mkdir; not overwrite-copy)",inferred,TC added Undo in a fairly recent version; exact undoable scope not hand-verified
Enter,archive.browse_as_dir,file_ops,panel,Pressing Enter (or double-click) on a recognised archive opens it as a virtual directory for browsing inside,known,
Tab,focus.other_panel,navigation,panel,Switch keyboard focus between left and right panel,known,Matches design.md section 9.4 seed table
Enter,nav.open_or_enter,navigation,panel,Open the file under cursor (execute/associated app) or enter the directory under cursor,known,
Backspace,nav.parent,navigation,panel,Go up to the parent directory,known,
Ctrl+PgUp,nav.parent,navigation,panel,Go up to the parent directory (same as Backspace),known,Matches design.md section 9.4 seed table
Ctrl+PgDn,nav.enter_dir,navigation,panel,Enter the directory under the cursor (same as Enter on a directory),known,
Ctrl+\,nav.root,navigation,panel,Jump to the root of the active drive,known,Matches design.md section 9.4 seed table; backslash is the literal key
Ctrl+D,hotlist.open,navigation,panel,Open the Directory Hotlist popup (favourites list with add/organize),known,Matches design.md section 9.4 seed table
Alt+Left,nav.history_back,navigation,panel,Go back in per-panel directory navigation history,inferred,Browser-style history nav was added in a later TC version; default binding believed but not hand-verified
Alt+Right,nav.history_forward,navigation,panel,Go forward in per-panel directory navigation history,inferred,
Alt+F1,drive.change_left,navigation,panel,"Open a drive-selector popup for the LEFT panel, regardless of which panel is active",known,Matches design.md section 9.4 seed table
Alt+F2,drive.change_right,navigation,panel,"Open a drive-selector popup for the RIGHT panel, regardless of which panel is active",known,Matches design.md section 9.4 seed table
Up,nav.cursor_up,navigation,panel,Move cursor up one row,known,
Down,nav.cursor_down,navigation,panel,Move cursor down one row,known,
Left,nav.cursor_left_or_collapse,navigation,panel,"In tree/brief multi-column view, move cursor left / collapse",inferred,
